Site,Square,AU,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation,,,,
J,B,1,4,1,221,Chert,Cream,0.09,7.86,RetF,0,,Hertz,,1,3.44,Single,,No,2,1,Yes,Single,,No,2,1,Yes,D-V,Percus,Prox,2.09,3.53,,,,,,1,Feather,,,,,5.04,2.35,2.28,39.6144,1.55952381,,,,
J,B,1,4,1,222,Chert,Grey,0.63,4.91,RetF,20,Angul,Hertz,,7,20.37,Cort,,No,3,0,Yes,Cort,,No,3,0,Yes,V-D,Percus,Dist,4.87,19.76,,,,,,1,Retouched,,,,,19.73,4.63,2.21,96.8743,0.248859605,,,,
J,B,1,4,1,223,Chert,Lt Brown,0.63,7.41,Flake,0,,Bending,,,11.21,Single,,No,4,1,,Single,,No,4,1,,,,,,,,,,,,,Feather,,,,,10.35,7.77,6.99,76.6935,0.715942029,,,,
J,B,1,4,1,224,Chert,Brown,0.6,19.2,RetF,0,,Hertz,,,,Focal,,Yes,10,,,Focal,,Yes,10,,,,,,,,,,,,,,Feather,,,,,8.91,2.89,,171.072,2.154882155,,,,
J,B,1,4,1,225,Chert,Red,10.6,37.95,Core,0,,,,,,,,,18,,,,,,18,,,,,,,,,,,,2,,,,,,,29.54,11.4,,1121.043,1.284698714,,,,
J,B,1,4,1,226,Chert,Grey,2.26,12.1,Core,0,,,,,,,,,6,,,,,,6,,,,,,,,,,,,3,,,,,,,10.79,10.35,,130.559,1.121408712,,,,
J,B,1,4,1,227,Chert,Red,0.06,6.61,Flake,0,,Hertz,,,,Partcoll,,No,2,,,Partcoll,,No,2,,,,,,,,,,,,,,Feather,,,,,4.08,2.71,,26.9688,1.620098039,,,,
J,B,1,4,1,228,Chert,Red,3.65,21.91,Core,5,Angul,,,,,,,,7,,,,,,7,,,,,,,,,1,,,3,,,,,,,17.55,6.23,,384.5205,1.248433048,,,,
J,B,1,4,1,229,Chert,Peach,0.04,3.54,Flake-b,0,,,Trans,,,,,,3,,,,,,3,,,,,,,,Dist,,,,,,Feather,,,,,3.78,0.8,,13.3812,0.936507937,,,,
J,B,1,4,1,230,Unknown,Peach,0.48,10.78,Flake,15,Angul,Hertz,,,7.9,Cort,,Yes,2,0,,Cort,,Yes,2,0,,,,,,,,1,,,,,Step,,,,,9.1,4.01,2.91,98.098,1.184615385,,,,
J,B,1,4,1,231,Chert,Grey,0.22,6.2,RetF,60,Angul,Hertz,,,5.46,Single,,Yes,2,1,,Single,,Yes,2,1,,,,,,,,,,,,,Feather,,,,,13.2,3.13,1.86,81.84,0.46969697,,,,
J,B,1,4,1,232,Chert,Grey,0.29,7.65,Flake,0,,Hertz,,,5.95,3-scars,,No,5,3,,3-scars,,No,5,3,,,,,,,,,,,,,Feather,,,,,4.55,5.33,8.18,34.8075,1.681318681,,,,
J,B,1,4,1,233,Chert,Grey,0.02,5.51,FFrag,0,,,Both,,,,,,2,,,,,,2,,,,,,,,Dist,,,,,,Feather,,,,,0.74,4.42,,4.0774,7.445945946,,,,
J,B,1,4,1,234,Chert,Yellow,0.03,6.86,Flake-b,0,Angul,Hertz,Long,,2.69,2-scars,,Yes,3,2,,2-scars,,Yes,3,2,,,,,,,Llat,,,,,,Feather,,,,,2.19,1.43,1.68,15.0234,3.132420091,,,,
J,B,1,4,1,235,Chert,Yellow,0.04,5.29,FFrag,0,,,Long,,,,,,2,,,,,,2,,,,,,,,Rlat,,1,,,,Feather,,,,,2.68,0.77,,14.1772,1.973880597,,,,
