DATE,SITE,EXCAVATION,HOABINHIAN,FLAKE_TYPE,MASS__G_,MAX_LENGTH,BLOCK_LENG,PERC_LENTH,PROX_WIDTH,MED_WIDTH_,DIST_WIDTH,PROX_THICK,MED_THICKN,DISTALNESS,DIST_THICK,DISTALNES2,PLAT_WIDTH,PLAT_THICK,INT_PLAT_A,EXT_PLAT_A,PLAT_SURFA,OVERHANG_R,INITIATION,BULB_OF_PE,ERAILURE_S,TERMINATIO,RAW_MATERI,DORSAL_COR,PLATFORM_C,DORSAL_SCA,PARALLEL_S,DORSAL_TER,ABERRANT_T,ROTATIONS,CORTEX_LOC,PLAT_PREPA,NON_PLAT_C,LONGEST_FA,FS1_LENGTH,FS1_PROX_W,FS1_MED_WI,FS1_DIST_W,FS1_PLAT_A,FS1_TERMIN,FS2_LENGTH,FS2_PROX_W,FS2_MED_WI,FS2_DIST_W,FS2_PLAT_A,FS2_TERMIN,FS3_LENGTH,FS3_PROX_W,FS3_MED__W,FS3_DIST_W,FS3_PLAT_A,FS3_TERMIN,FS4_LENGTH,FS4_PROX_W,FS4_MED_WI,FS4_DIST_W,FS4_PLAT_A,FS4_TERMIN,FS5_LENGTH,FS5_PROX_W,FS5_MED_WI,FS5_DIST_W,FS5_PLAT_A,FS5_TERMIN,SQUARE,HAPP_BAG,ARTEFACT_C,S1_INVAS,S1_ANGLE,S2_INVAS,S2_ANGLE,S3_INVAS,S3_ANGLE,S4_INVAS,S4_ANGLE,S5_INVAS,S5_ANGLE,S6_INVAS,S6_ANGLE,S7_INVAS,S7_ANGLE,S8_INVAS,S9_INVAS,S9_ANGLE,S10_INVAS,S10_ANGLE,S12_INVAS,S12_ANGLE,S14_INVAS,S14_ANGLE,S16_INVAS,S16_ANGLE,S15_INVAS,S15_ANGLE,S13_INVAS,S13_ANGLE,S11_INVAS,S11_ANGLE,S8_ANGLE,S1_DEPTH,S2_DEPTH,S3_DEPTH,S4_DEPTH,S5_DEPTH,S6_DEPTH,S7_DEPTH,S8_DEPTH,S9_DEPTH,S10_DEPTH,S11_DEPTH,S12_DEPTH,S13_DEPTH,S14_DEPTH,S15_DEPTH,S16_DEPTH,RETOUCH1_L,RETOUCH2_L,RETOUCH3_L,TOTAL_PERI,R6_DEPTH_O,R3_RETOUCH,SCARS,TERMINATI2,RECENT_DAM,NON_CONCHO,HAPP_ARTEF,COMMENTS__,S1_T1,S1_T2,S2_T1,S2_T2,S4_T1,S4_T2,S6_T1,S6_T2,S8_T1,S8_T2,S7_T1,S7_T2,S5_T1,S5_T2,S3_T1,S3_T2,S9_T1,S9_T2,S10_T1,S10_T2,S12_T1,S12_T2,S14_T1,S14_T2,S16_T1,S16_T2,S15_T1,S15_T2,S13_T1,S13_T2,S11_T1,S11_T2
20050224,Tham Lod,31,,Complete,12.19,38.82,39.27,32.84,27.13,36.50,24.77,6.74,7.05,18.98,5.71,,17.82,6.22,80.00,100.00,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Diorite 1,0.00,100.00,2.00,0.00,1.00,0.00,2.00,Absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq3,sampling,Flake,,,,,,,,40.00,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,Complete,20.48,53.88,53.90,53.86,23.34,29.04,26.58,9.13,7.33,22.73,11.91,,21.05,6.76,100.00,90.00,Cortical,Present,Herztian,Pronounced,Absent,Feather,hi-q qtzt,20.00,100.00,4.00,0.00,1.00,1.00,3.00,Distal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1639,Flake,,,,,,,,30.00,,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,2988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,,3.71,,,,,,,,,,,,,,,,,,,,,,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1639,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,2989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,,15.29,,,,,,,,,,,,,,,,,,,,,,Ind mudst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1639,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,,36.15,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1639,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,,32.55,,,,,,,,,,,,,,,,,,,,,,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1609,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,2822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,,214.01,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq3,s1622,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,,77.58,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10neq3,s1622,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,,287.91,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq4,s1675,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,2843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,side chpr,,479.16,,,45.46,99.85,98.29,90.79,64.73,68.00,21.19,67.03,,96.85,71.44,,,,,,,,,hi-q qtzt,,90.00,,3.00,,3.00,1.00,,OHR,60,46.71,32.18,18.86,16.37,12.71,80.00,Feather,22.22,18.83,17.53,11.84,90.00,Step,15.00,10.16,21.42,14.51,80.00,Step,22.56,16.96,16.74,12.48,80.00,Hinge,,,,,,,s23w10nwq1,s1598,Core,0.50,100.00,0.50,100.00,,,0.50,90.00,,,0.50,90.00,,,0.50,,,,,,,,,,,,,,,,,100.00,23.19,36.71,,25.46,,25.47,,16.34,,,,,,,,,120.00,,,290.00,36.98,92.65,7.00,4.00,No,Present,2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,,16.22,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1610,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,Long L,22.91,42.00,41.79,41.79,31.42,30.46,22.98,13.03,11.67,25.66,9.05,,31.13,14.68,90.00,80.00,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,20.00,100.00,2.00,0.00,1.00,0.00,1.00,Distal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq3,s1603,Flake,,,,,,,,30.00,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,Complete,76.57,62.31,62.39,62.55,45.78,52.62,40.70,10.81,20.23,25.46,10.31,,24.60,6.04,100.00,90.00,Cortical,Present,Herztian,Diffuse,Present,Feather,Ind mudst,30.00,100.00,6.00,0.00,3.00,2.00,4.00,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq3,s1603,Flake,1.00,50.00,1.00,60.00,0.50,30.00,0.00,40.00,0.00,30.00,0.00,,0.00,,1.00,,,,,,,,,,,,,,,,,40.00,13.70,12.83,15.47,,,,,36.45,,,,,,,,,40.00,10.00,,190.00,18.18,36.71,,,No,,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,,20.82,,,,,,,,,,,,,,,,,,,,,,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq3,s1603,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,,234.70,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq3,s1603,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,,11.35,,,,,,,,,,,,,,,,,,,,,,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1609,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,Complete,10.93,33.97,33.22,29.49,32.24,31.72,21.66,10.78,9.17,14.60,3.18,,24.76,11.31,70.00,90.00,1 scar,Absent,Herztian,Pronounced,Absent,Feather,Sandstone,100.00,30.00,0.00,0.00,0.00,0.00,0.00,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1609,Flake,,,,,,,,30.00,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,,4.76,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1609,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,,47.72,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1609,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,Complete,24.36,37.65,38.22,32.53,48.80,60.88,40.58,10.26,8.62,20.14,5.85,,22.34,9.80,110.00,70.00,>1 scar,Absent,Herztian,Diffuse,Present,Step,Quartzite,0.00,70.00,0.00,0.00,0.00,0.00,0.00,Absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1609,Flake,,,,,,,,30.00,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30,,,11.35,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq2,s1609,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
